# X^3 + Y^3 = A^4 + B^4
# primitive nontrivial, X>=Y>0, A>=B>0, gcd(X,Y,A,B)=1
# sum branch, A,B <= 10^7
# n=7629
X,Y,A,B
4630633,2343575,102132,42816
2910706,1204121,69264,42909
1743480,1667873,50567,42944
2912521,1277906,69528,43017
11579341,8427141,215271,43237
750248497,208869424,4557448,43379
10162317,4691477,184117,43565
165713338,46388537,1468500,43635
6802677,3574189,137429,44019
238316945,16476656,1918236,44075
24184129,15339552,365007,44108
3772168,955329,84369,44380
3618957,2060117,85021,44405
83351336,72880065,991435,44554
1269101890,148004153,6726582,44601
41742263,39626665,606102,44646
5039045,79723,105504,44862
3327424,2504097,83424,45017
3747105,3644401,99215,45051
8690785,858648,159849,45152
1984305,1648408,53396,45171
2594977,303064,60412,45223
8576397,7127429,177323,45319
54863245,15016581,640711,45525
54330218,102025,632817,45684
6045305,5566018,140439,45714
3909681,1188736,86904,45811
7154841,5018665,148645,45981
5248257,1267904,109186,45989
252089096,226040961,2291432,46111
1852457917,950624627,9216660,46242
7975953,6491560,166923,46288
23022263,14289145,350634,46416
7113713,6559880,158906,46449
58952673,41214040,724083,46594
5923345,812448,119438,46953
3021367,2246009,76338,47172
8834601,3366281,163961,47243
85161521,2405921,886511,47253
296967096,107047681,2288238,47323
3767985,1331936,84428,47405
194711901,91741621,1689839,47517
9190149,1742173,166923,47555
687575912,205934177,4274340,47959
27729781,20724061,416933,48007
2335562,35929,52203,48012
4175209,1384617,91503,48059
6154304,1349217,123172,48169
2448289,2193952,66682,48349
2606016,2455841,72067,48506
1871881,1760186,50139,48846
44771585,18141696,556210,48859
2647346,1553881,63693,49176
16911065,13650586,293040,49179
29854073,9821865,407407,49289
2694112,2247057,70694,49335
3518736,1415281,79761,49346
4796377,2921114,106599,49782
17897033,11607929,292205,49899
2172281,1409721,51061,50009
59244065,54885656,781639,50040
21990705,15745633,347201,50091
3611425,1096368,80558,50109
1442344881,912456496,7830783,50354
3769832,551057,82935,50362
2633185,1723393,64043,50597
12956488,11049409,243532,50705
21802291,21622781,378234,50832
11261920,7624113,207807,50858
3817289,850282,83877,50958
3648897,3533864,96274,51077
70278881,69289136,908008,51657
11951761,11673136,239509,51724
5735317,1506429,116603,51831
3151672,2080449,75808,51951
318454365,90066181,2397255,52073
1266777441,907348816,7261138,52179
25629563,18279349,389160,52206
6446461,5959221,147403,52209
3519737,2491769,84769,52227
18320701,14346805,308815,52357
245916313,21754370,1964109,52416
27174792,15318289,392174,52521
5698834,4155113,125643,52530
23680873,23152490,400323,52626
7106193,1018640,136994,52663
3433893,1627357,78015,52775
13821000,8366641,238175,52794
206057232,37115137,1722358,52965
99465272,34238289,1005989,53032
217032385,206602456,2088940,53039
1480808209,1088147032,8206487,53162
15778337,5209824,252448,53191
30750767,11834497,418680,53334
2245031,1868041,55848,53358
4272672,3260929,101106,53477
20997895,18497273,353292,53508
33719025,2807473,442533,53531
40074957,5576917,504003,53605
8996920,174993,163806,53641
11123505,6419848,201006,53983
4666165,2510701,102151,54055
1679301728,1040383169,8750005,54162
161680129,3559872,1433816,54207
34906249,23134247,484062,54288
36367657,8094674,469578,54309
437110400,230111201,3127732,54345
1304364328,1200707025,7927867,54372
18532944,2578897,282554,54393
322575569,317186513,2844605,54579
4156485,3718541,103381,54775
3448561,164305,75125,55021
2576491,1957781,62664,55056
3124437,2873437,81903,55115
13373953,1535064,221019,55450
36421721,2075986,468834,55521
3459197,984597,75665,55619
11899840,1116193,202361,55636
1119408569,911021482,6816381,56004
72424601,14160281,786539,56007
4086336,3635825,101570,56047
5491841,238056,111718,56059
14322385,7581743,240828,56232
8319487,6970289,173418,56292
10040488,695505,177927,56654
17559397,10023069,282961,56727
51235909,2052477,605591,56799
28894645,6744733,395311,56819
76872237,30400517,833375,57061
63934736,40842945,757621,57350
2963552,2904977,79275,57652
17448191,15736321,309684,57744
9139537,994344,165669,57752
170192257,42995344,1496033,57772
34290072,27143777,495554,57875
60483201,30568000,706974,57925
6599986,1504361,129297,58128
10156293,3645389,181465,58501
22940769,6241352,333056,58519
1284563768,1255331825,8000922,58993
3044104,215697,63242,59127
41507952,3206689,517166,59139
34509625,26123303,492666,59286
27764832,27198737,451381,59360
134572952,120526049,1430538,59533
668196792,137600417,4165070,59549
3502545,1142248,75124,59589
8113456,3910321,155266,59711
21147337,11076839,322398,59772
5550929,2795792,115828,59931
8003477,4805037,157195,60059
4403000,312033,92194,60211
37345072,24965329,509959,60382
38666554,1815977,490329,60564
199041816,45397025,1680694,60605
51147769,43026098,679707,60900
1856659224,1057114097,9331246,60977
220266616,98037505,1846655,61156
326044169,182914903,2527038,61230
203548985,177094666,1933908,61245
6849697,323824,132391,61388
5639273,4674970,127854,61491
6909777,6295024,154164,61723
4109377,3015904,95246,61739
5061824,237153,103582,61805
8245049,4686682,159597,61884
2820225,1941088,62306,61893
20924225,10526328,318671,62044
7345973,1829229,140321,62065
37637600,5076833,480786,62381
3127001,2273890,72015,62682
18157425,13962296,305341,63080
15478903,3474665,247206,63354
11068848,8723489,211570,63613
3570370,796313,73761,63654
369646129,117652192,2687108,63821
260699489,140238847,2127222,64134
1703456120,310250193,8397542,64441
8342650,183113,154062,64491
7472465,6919183,164418,64866
239358257,44923424,1927532,65139
360684329,36925042,2617953,65208
5629904,1214897,112794,65473
1390618601,496369241,7281731,65499
405966145,234039528,2988134,65877
3861313,1364280,80142,65899
34177809,5303008,447364,66165
3712631,877369,75540,66270
9025648,8876865,193962,66347
21577993,12852745,332009,66419
5416058,3878665,118527,66756
10227776,8252849,200360,67245
73415528,27663969,803516,67415
12617573,11081405,240549,67939
108662653,99380709,1226721,68095
10315082,5161129,186642,68109
