# primitive nontrivial: X^3 +- Y^3 = A^4 + B^4, X>=Y, A>=B, gcd=1
# k=4  M=30000000  branch=sum
# X,Y,A,B,sign   (sign '+' means X^3+Y^3, '-' means X^3-Y^3)
4150120,3767841,100605,68894,+
4626725,1765421,101063,21765,+
4751261,841411,101106,42798,+
4272672,3260929,101106,53477,+
4086336,3635825,101570,56047,+
4219937,3196944,101878,17603,+
4630633,2343575,102132,42816,+
4666165,2510701,102151,54055,+
5268335,1906753,102552,80766,+
4729273,1878194,102570,36201,+
4837141,960141,103249,25473,+
4877039,390337,103254,39348,+
4156485,3718541,103381,54775,+
4833977,3031879,103452,71604,+
5061824,237153,103582,61805,+
4748053,2286349,103955,38549,+
4825417,2049289,104873,5123,+
4375989,3400573,105013,35055,+
5255592,4346849,105302,101069,+
5039045,79723,105504,44862,+
4796377,2921114,106599,49782,+
4686073,4271879,106704,84600,+
5248257,1267904,109186,45989,+
4893697,3029272,109733,650,+
6139033,449210,110037,95976,+
6454673,1845584,110775,105658,+
4365537,4149457,110935,42267,+
5491841,238056,111718,56059,+
4848145,3521016,112008,21365,+
4749345,3726448,112258,16131,+
5629904,1214897,112794,65473,+
5461560,1122001,112825,38874,+
5759112,631409,113248,71939,+
5765857,741184,113527,71396,+
5504024,534017,113568,27137,+
6071221,3227821,114493,96181,+
4644677,4314139,115422,41658,+
5550929,2795792,115828,59931,+
5227541,3445661,116143,36651,+
5395008,2968705,116334,13499,+
5735317,1506429,116603,51831,+
5183760,3605441,116806,10805,+
5872513,2888080,117496,77473,+
5745569,1578312,117958,1373,+
6645649,1282847,118002,100428,+
5416058,3878665,118527,66756,+
5835505,1501416,119217,17830,+
5923345,812448,119438,46953,+
5907893,169229,119833,5775,+
5731953,2631760,119834,24111,+
5028760,4337953,119939,36938,+
5533081,3424871,120168,31968,+
6666944,4555793,120489,115850,+
6243472,4207009,120797,101206,+
5464417,3786609,120977,42507,+
6298977,2500784,121043,84466,+
6072088,44289,122111,35220,+
5109281,4532721,122417,37253,+
5825827,3035357,122532,22860,+
6691361,1407201,123157,92221,+
6154304,1349217,123172,48169,+
6173345,575616,123805,26858,+
6130781,2407685,125025,15361,+
6089480,2678753,125107,15174,+
5698834,4155113,125643,52530,+
7869200,1966833,127078,123697,+
7346993,2293584,127684,109325,+
5639273,4674970,127854,61491,+
5793501,4232261,128207,17279,+
6019489,3775672,128413,11854,+
6317697,2898904,128802,33733,+
6599986,1504361,129297,58128,+
6518104,2032033,129625,41576,+
7195169,1227312,129661,97858,+
6450329,4615783,130776,92820,+
6720413,630149,132019,1995,+
5743024,4871473,132127,22550,+
6849697,323824,132391,61388,+
7771904,2044673,133697,112200,+
7139265,3712088,134978,95477,+
8295269,3669293,135405,129823,+
6708165,4085533,135863,73593,+
7620808,6103249,135941,134620,+
7189858,2499065,136428,79947,+
6626121,3869305,136665,10009,+
7252449,3113488,136755,88694,+
7106193,1018640,136994,52663,+
6802677,3574189,137429,44019,+
8372201,119866,137628,122889,+
6818497,4511592,139787,72090,+
6639969,5024608,139881,77860,+
7345973,1829229,140321,62065,+
8830309,64557,140437,131559,+
6045305,5566018,140439,45714,+
7296146,4053385,140550,89709,+
5991088,5612865,140687,18288,+
7327721,693081,140839,24263,+
7313281,2466936,141947,20514,+
7257709,2981493,142191,11825,+
7676689,1472128,143285,76408,+
6741509,6193757,143917,103557,+
8354225,4518296,144812,123885,+
7699592,1314417,146243,33940,+
8039365,563051,146460,87882,+
7452417,3648529,146611,25737,+
6446461,5959221,147403,52209,+
8039224,4838337,147662,112011,+
6866033,5972280,147706,88273,+
9204401,113840,147760,131949,+
7154841,5018665,148645,45981,+
6870177,6530464,148707,103274,+
8094529,3626968,149035,95942,+
7525513,4111514,149211,11250,+
7837725,2571733,149419,12927,+
8189965,2527523,149586,89724,+
7197240,5146673,150214,2849,+
7337807,5312017,152790,8646,+
8270075,3114853,152922,83658,+
8659616,1403825,153830,97983,+
8342650,183113,154062,64491,+
6909777,6295024,154164,61723,+
7988045,7176883,154476,132684,+
8718353,6440095,155088,136902,+
8970739,6633533,155160,144354,+
8321665,6689008,155167,131152,+
7456929,5723648,155228,68135,+
8113456,3910321,155266,59711,+
8359149,1054517,155539,533,+
8814218,3447049,156120,107121,+
8816400,4250321,156859,111880,+
8003477,4805037,157195,60059,+
9318713,3873065,157561,125871,+
10719218,2226985,157947,157818,+
9782625,3180016,158300,135831,+
