# primitive nontrivial: X^3 +- Y^3 = A^4 + B^4, X>=Y, A>=B, gcd=1
# k=4  M=10000000  branch=diff
# X,Y,A,B,sign   (sign '+' means X^3+Y^3, '-' means X^3-Y^3)
2917585,2751512,44731,5176,-
3885449,3792663,44849,15443,-
1722197,239141,45108,31254,-
2018105,723079,45313,43635,-
8503321,8483559,45417,12187,-
1682768,788575,45448,9561,-
3917121,3756496,45455,41000,-
17801545,17794247,45809,39889,-
2796528,2583551,46043,19050,-
3008809,2831662,46143,1620,-
3789169,3659432,46225,30214,-
1893432,1293151,46376,1177,-
3311457,3160408,46445,17446,-
2534669,2262123,46549,10739,-
1878029,1238237,46590,10812,-
2215585,1832912,46606,1757,-
2596865,2336544,46700,961,-
1721632,101007,46710,24175,-
1787618,959015,46758,14991,-
2653441,2396984,46939,15374,-
3140209,2806992,47340,44227,-
1987265,1144152,47371,33862,-
2518705,1943112,47548,43347,-
8012961,7984400,47645,23946,-
1808905,678982,48216,21183,-
1771885,385597,48318,15324,-
1779984,145343,48619,14874,-
3091655,2869607,49326,5778,-
6288417,6234976,49597,22022,-
4781840,4673967,49774,32359,-
2721329,2393247,49777,23525,-
2324709,1830883,50129,18263,-
2031048,600175,50453,36016,-
2371248,1892815,50572,10163,-
10380881,10359784,50663,21618,-
2329928,590095,50929,48894,-
2363537,997791,50939,48377,-
1981416,250399,51628,28489,-
2407781,431379,51643,51001,-
2362256,1819375,51689,12090,-
22523993,22519191,51835,17213,-
4154213,3859251,51875,51383,-
3753297,3541256,51974,32871,-
2002658,893255,52002,8967,-
2528381,1716939,52073,44003,-
2362917,23171,52451,48699,-
5395834,5296663,52518,30771,-
10755338,10720535,52728,45561,-
2247024,31567,52991,43130,-
7056577,7002416,53231,736,-
2071921,916904,53329,13714,-
2112161,923760,53347,27050,-
2617401,1354999,53519,51871,-
2041729,454592,53590,20293,-
2739953,2301951,53605,18407,-
13998369,13983103,53693,28429,-
2058401,720639,53731,10541,-
2291569,270048,53757,43748,-
4716224,4582927,54223,5970,-
2145619,849187,54510,25704,-
3157269,2827843,54557,1249,-
40782581,40780099,55149,42073,-
29389920,29385119,55290,41939,-
4316329,4122118,55389,31314,-
2291800,1301807,55559,23458,-
5765413,5667251,55681,10165,-
4233263,4031951,55710,28758,-
7875485,7822827,55811,13193,-
2319480,593647,56203,38908,-
4656009,4484759,56265,29035,-
3451257,3111191,56483,30051,-
6097106,5919959,56511,54756,-
3931928,3518511,56780,51131,-
5217841,5072064,56836,32691,-
5006225,4846272,57332,30293,-
2308752,491023,57352,34205,-
2828353,2169440,57521,34808,-
5590216,5465535,57644,24975,-
4165680,3805807,58057,49078,-
2769193,1818550,58194,44013,-
2273296,400335,58465,3534,-
2813664,1346927,58830,52937,-
2505680,1550799,58849,9550,-
2419281,1209295,58861,24955,-
2508033,1059920,58888,39999,-
2523977,1565126,59151,7428,-
2495329,1486287,59163,7055,-
3060181,2500499,59179,29509,-
2376385,806912,59248,27503,-
9981488,9901231,59685,57728,-
40786168,40782191,59930,51337,-
3237816,2124239,60173,57912,-
2848009,408478,60378,55869,-
3297200,2797567,60699,24766,-
4265203,3981811,60792,29940,-
86181297,86180672,61055,13170,-
2499569,1124847,61313,15745,-
3203666,2649815,61467,4110,-
2969953,2283231,61485,7109,-
2476256,137295,62273,19450,-
3772897,3115023,62405,53697,-
2705320,572367,62412,45901,-
3219073,2617800,62484,20447,-
6105808,5956095,62847,29296,-
3516929,2932008,63626,37157,-
3037073,268056,63980,57899,-
2830319,390383,64176,48756,-
2790624,1579823,64389,27836,-
33642736,33636239,64957,45412,-
3159121,214415,65255,60487,-
18113704,18094943,65534,7517,-
6847160,6583119,65939,64040,-
3185225,2375414,65946,645,-
2819265,1502272,66031,9296,-
3020128,1974911,66181,28510,-
7373937,7215871,66319,49267,-
2770201,625294,67197,28116,-
4167657,3685831,67529,35119,-
2780617,521446,67797,21906,-
2912801,622624,68046,41731,-
49067161,49064135,68347,13535,-
2809285,31859,68617,7435,-
6010769,5759808,69076,42667,-
3903673,3052390,69396,52941,-
3463665,1175512,69853,63364,-
6992512,6690911,69958,65501,-
4998321,4626640,70015,36662,-
3555525,2663107,70049,37529,-
4392057,3850807,70085,43235,-
4052698,3394951,70236,41955,-
3242906,157319,70392,55587,-
3136211,1828979,70518,4314,-
2937825,100112,70566,27341,-
4129991,3570119,70668,5616,-
3342649,41447,70801,59125,-
3200801,1732479,70969,38623,-
